,Years,OpeningPrice,Year
701,2006-09-08,528.88,2006
702,2006-09-11,528.4,2006
703,2006-09-12,528.33,2006
704,2006-09-13,526.56,2006
705,2006-09-14,526.68,2006
706,2006-09-15,528.1,2006
707,2006-09-18,524.65,2006
708,2006-09-19,526.07,2006
709,2006-09-20,526.31,2006
710,2006-09-21,524.61,2006
711,2006-09-22,528.98,2006
712,2006-09-25,528.21,2006
713,2006-09-26,527.63,2006
714,2006-09-27,527.01,2006
715,2006-09-28,528.23,2006
716,2006-09-29,527.64,2006
717,2006-10-02,523.36,2006
718,2006-10-03,523.66,2006
719,2006-10-04,524.38,2006
720,2006-10-05,526.61,2006
721,2006-10-06,529.15,2006
722,2006-10-09,526.23,2006
723,2006-10-10,528.81,2006
724,2006-10-11,527.11,2006
725,2006-10-12,524.81,2006
726,2006-10-13,526.49,2006
727,2006-10-16,524.67,2006
728,2006-10-17,524.5,2006
729,2006-10-18,526.32,2006
730,2006-10-19,523.38,2006
731,2006-10-20,525.65,2006
732,2006-10-23,526.48,2006
733,2006-10-24,525.56,2006
734,2006-10-25,524.76,2006
735,2006-10-26,525.59,2006
736,2006-10-27,523.77,2006
737,2006-10-30,527.34,2006
738,2006-10-31,523.73,2006
739,2006-11-01,526.98,2006
740,2006-11-02,526.67,2006
741,2006-11-03,529.42,2006
742,2006-11-06,525.87,2006
743,2006-11-07,526.18,2006
744,2006-11-08,528.8,2006
745,2006-11-09,524.93,2006
746,2006-11-10,528.02,2006
747,2006-11-13,527.7,2006
748,2006-11-14,526.72,2006
749,2006-11-15,524.94,2006
750,2006-11-16,527.15,2006
751,2006-11-17,523.17,2006
752,2006-11-20,527.01,2006
753,2006-11-21,524.84,2006
754,2006-11-22,523.49,2006
755,2006-11-23,526.68,2006
756,2006-11-24,527.19,2006
757,2006-11-27,526.92,2006
758,2006-11-28,525.73,2006
759,2006-11-29,528.21,2006
760,2006-11-30,525.9,2006
761,2006-12-01,523.89,2006
762,2006-12-04,527.01,2006
763,2006-12-05,528.29,2006
764,2006-12-06,527.62,2006
765,2006-12-07,527.75,2006
766,2006-12-08,530.67,2006
767,2006-12-11,525.22,2006
768,2006-12-12,525.52,2006
769,2006-12-13,529.77,2006
770,2006-12-14,528.72,2006
771,2006-12-15,527.55,2006
772,2006-12-18,526.35,2006
773,2006-12-19,525.3,2006
774,2006-12-20,528.56,2006
775,2006-12-21,526.78,2006
776,2006-12-22,530.07,2006
777,2006-12-25,529.19,2006
778,2006-12-26,530.64,2006
779,2006-12-27,527.83,2006
780,2006-12-28,526.16,2006
781,2006-12-29,525.31,2006
782,2007-01-01,524.87,2007
783,2007-01-02,525.87,2007
784,2007-01-03,528.3,2007
785,2007-01-04,526.5,2007
786,2007-01-05,529.83,2007
787,2007-01-08,525.67,2007
788,2007-01-09,527.56,2007
789,2007-01-10,528.65,2007
790,2007-01-11,528.65,2007
791,2007-01-12,525.08,2007
792,2007-01-15,525.82,2007
793,2007-01-16,528.47,2007
794,2007-01-17,525.22,2007
795,2007-01-18,524.98,2007
796,2007-01-19,526.12,2007
797,2007-01-22,526.52,2007
798,2007-01-23,526.62,2007
799,2007-01-24,528.15,2007
800,2007-01-25,528.97,2007
801,2007-01-26,526.17,2007
802,2007-01-29,524.63,2007
803,2007-01-30,525.82,2007
804,2007-01-31,522.33,2007
805,2007-02-01,525.93,2007
806,2007-02-02,528.52,2007
807,2007-02-05,526.29,2007
808,2007-02-06,524.19,2007
809,2007-02-07,524.65,2007
810,2007-02-08,523.83,2007
811,2007-02-09,525.83,2007
812,2007-02-12,525.04,2007
813,2007-02-13,524.24,2007
814,2007-02-14,523.35,2007
815,2007-02-15,525.49,2007
816,2007-02-16,525.14,2007
817,2007-02-19,525.62,2007
818,2007-02-20,525.62,2007
819,2007-02-21,525.25,2007
820,2007-02-22,523.33,2007
821,2007-02-23,522.62,2007
822,2007-02-26,523.69,2007
823,2007-02-27,524.24,2007
824,2007-02-28,523.78,2007
825,2007-03-01,526.88,2007
826,2007-03-02,527.26,2007
827,2007-03-05,525.06,2007
828,2007-03-06,524.35,2007
829,2007-03-07,522.33,2007
830,2007-03-08,525.14,2007
831,2007-03-09,526.15,2007
832,2007-03-12,523.6,2007
833,2007-03-13,523.8,2007
834,2007-03-14,522.96,2007
835,2007-03-15,523.09,2007
836,2007-03-16,524.36,2007
837,2007-03-19,523.06,2007
838,2007-03-20,523.01,2007
839,2007-03-21,521.05,2007
840,2007-03-22,523.48,2007
841,2007-03-23,524.82,2007
842,2007-03-26,521.98,2007
843,2007-03-27,524.03,2007
844,2007-03-28,525.16,2007
845,2007-03-29,524.76,2007
846,2007-03-30,521.33,2007
847,2007-04-02,523.44,2007
848,2007-04-03,525.75,2007
849,2007-04-04,523.98,2007
850,2007-04-05,522.12,2007
851,2007-04-06,523.31,2007
852,2007-04-09,524.93,2007
853,2007-04-10,523.17,2007
